Hotel Name,Location,Rating,Review Score,Number of   ,Room    Score,Room Type,Bed Type,Room Price (in BDT or any other currency)
Krabi La Playa Resort - SHA Plus,Ao Nang Beach,8.2,Very Good,141,8.6,Deluxe Double or Twin Room,   1 double or 2 twins,"   146,026"
KC Beach Club & Pool Villas,"Chaweng City Center , Chaweng",7.1,Good,193,,Double Room with Balcony and Sea View,1 queen bed,"   215,304"
Rawai VIP Villas & Kids Park,Rawai Beach,8.3,Very Good,63,8.9,2 Bedroom Pool Villa,2 queen beds,"   435,384"
"FuramaXclusive Sathorn, Bangkok","Bang Rak, Bangkok",7.7,Good,"1,304",8.1,Executive Double Room,1 full bed,"   146,240"
Bo Phut Resort and Spa - SHA Plus,Bophut,9.3,Wonderful,294,9.6,Villa with Garden View,   1 double or 2 twins,"   621,072"
Abloom Exclusive Serviced Apartments,"Phaya Thai, Bangkok",8.1,Very Good,295,8.4,One Bedroom Deluxe(Flash Sales),1 full bed,"   178,109"
"Bandara Suites Silom, Bangkok - SHA Extra Plus","Bang Rak, Bangkok",8.3,Very Good,"1,045",8.7,Studio,   1 double or 2 twins,"   176,217"
Bhukitta Boutique Hotel,Phuket,7.6,Good,236,8,Superior Double or Twin Room,1 queen bed,"   84,658"
Hotel Verdigris,Phuket,9.4,Wonderful,60,9.7,Twin Room,2 twin beds,"   407,481"
Combo Beach Hotel Samui,"Chaweng City Center , Chaweng",7.7,Good,689,8.2,Deluxe Double Room,1 full bed,"   132,495"
Spacious apartment with Ocean view in Panwa,Phuket,9.1,Wonderful,8,9.4,Two-Bedroom Apartment,"3 beds (2 twins, 1 king)","   173,845"
Explorar Koh Samui - Adults Only Resort and Spa,Mae Nam,9.1,Wonderful,198,9.5,Deluxe Double or Twin Room with Balcony,1 king bed,"   384,935"
Waterfront Suites Phuket by Centara,Karon Beach,8.5,Very Good,118,8.6,One-Bedroom Suite with Sea View,"3 beds (2 twins, 1 sofa bed)","   202,186"
Art Mai Gallery Nimman Hotel Chiang Mai - SHA Plus,"Nimmanhaemin, Chiang Mai",8.3,Very Good,357,8.8,Premier Art Room,   1 double or 2 twins,"   199,880"
The Leaf Oceanside by Katathani - SHA Extra Plus,"Nang Thong Beach, Khao Lak",8.6,Excellent,372,8.9,Cottage Double or Twin Room,   1 double or 2 twins,"   101,895"
Twin Lotus Resort and Spa - SHA Plus - Adult Only Hotel,"Klong Dao Beach, Ko Lanta",8.5,Very Good,348,9,Villa with Garden View,1 king bed,"   253,604"
Siam Subway Hostel and Café,"Bangkok Old Town, Bangkok",9.4,Wonderful,76,9.5,Deluxe King Room with Shared Bathroom,1 queen bed,"   98,660"
TheView Chaengwattana14 ????????????????14,"Don Muang, Bangkok",8.6,Excellent,118,9,One-Bedroom Apartment,1 queen bed,"   66,254"
The Blanket Hotel Phuket Town - SHA Plus,Phuket,8,Very Good,522,8.6,Deluxe King or Twin Room,2 twin beds,"   126,738"
The Siamese Hotel,North Pattaya,8.7,Excellent,394,8.9,Deluxe Double Room,1 king bed,"   144,177"
Paradise Resort Phi Phi-SHA Plus,"Long Beach, Phi Phi Islands",7.9,Good,448,,Thai Modern Apartment,1 full bed,"   168,207"
S3 Siam Bangkok Hotel,"Pathumwan, Bangkok",8.2,Very Good,269,8.7,Superior King Room,1 king bed,"   194,085"
Haad Salad Villa,Salad Beach,8.6,Excellent,217,8.5,Standard Bungalow,1 queen bed,"   115,219"
Maven Stylish Hotel Hua Hin,Hua Hin,8.6,Excellent,142,9.3,Superior Double or Twin Room with City View,2 twin beds,"   167,829"
Sawasdee House,"Khaosan, Bangkok",7.7,Good,335,,Superior Double Room with Window,1 queen bed,"   90,573"
Casa De Mar - SHA Plus,"Chaweng Beachfront, Chaweng",8.2,Very Good,781,8.4,Superior Double or Twin Room,1 king bed,"   265,286"
Krabi La Playa Resort - SHA Plus,Ao Nang Beach,8.2,Very Good,141,8.6,Deluxe Double or Twin Room,   1 double or 2 twins,"   146,026"
Luxury Apartment at Title Residencies Naiyang Beach,Phuket,7.3,Good,3,8.3,Apartment with Pool View,1 queen bed,"   84,427"
I Pavilion Hotel Phuket - SHA Extra Plus,Phuket,8.5,Very Good,484,8.9,Superior Double or Twin Room,2 twin beds,"   78,091"
Chura Samui - SHA Plus,"Chaweng Beachfront, Chaweng",8.2,Very Good,569,8.7,Grand Deluxe Double or Twin Room,Multiple bed types,"   163,572"
Sabaii Bay Resort,Ban Tai,7.2,Good,169,,Standard Double or Twin Room,   1 double or 2 twins,"   119,417"
Assava Dive Resort - SHA Plus,"Chalok Baan Kao, Ko Tao",8.5,Very Good,278,8.4,Superior Double Room,1 king bed,"   120,980"
Moondance Magic View Bungalow,Ko Tao,8.5,Very Good,220,8.5,Double Room with Balcony and Sea View,1 full bed,"   103,204"
Buri Sriping Riverside Resort & Spa - SHA Extra Plus,"Wat Ket, Chiang Mai",9.1,Wonderful,88,9.4,Deluxe Room,1 king bed,"   271,719"
Armoni Patong Beach Hotel,Patong Beach,7.4,Good,201,,Superior Double or Twin Room,   1 double or 2 twins,"   60,652"
Tharaburi Resort,"Mueang Kao, Sukhothai",8.4,Very Good,163,8.7,Deluxe Plus,1 king bed,"   192,976"
The Top Patong Resort,Patong Beach,6.3,Review score,135,,Superior Double or Twin Room with City View,1 full bed,"   55,453"
Patong Lodge Hotel - SHA Extra Plus,"Kalim Beach, Patong Beach",7.3,Good,"1,461",,Triple Room with Balcony,"2 beds (1 twin, 1 queen)","   109,627"
Phi Phi Bayview Resort,"Tonsai Bay, Phi Phi Islands",7.2,Good,472,,Premier Deluxe Villa,1 full bed,"   120,462"
V20 Boutique Jacuzzi Hotel - SHA Extra Plus,"Chatuchak, Bangkok",9,Wonderful,596,9.3,Family Room with Balcony,1 king bed,"   135,083"
"Anantasila Villa by the sea, Hua Hin - SHA Extra Plus","Khao Takiab, Hua Hin",8.9,Excellent,210,9.3,Double Room with Balcony and Pool View,2 queen beds,"   367,133"
U Sabai Living Hotel - SHA Certified,Patong Beach,8.7,Excellent,331,9,Standard Double Room,1 king bed,"   51,571"
Khao thalu guest house,Ban Muang Wan,,,,,Double Room with Garden View,1 king bed,"   64,695"
Majestic Suites Hotel,"Khlong Toei, Bangkok",8,Very Good,914,8.4,Deluxe Room,1 full bed,"   130,384"
Muan Hotel,"Si Phum, Chiang Mai",8.6,Excellent,20,8.9,Family Room with Private Bathroom,"2 beds (1 full, 1 bunk bed)","   109,797"
